wavelength,r,g,b
380,0.00003,-0.00001,0.00117
385,0.00005,-0.00002,0.00189
390,0.00010,-0.00004,0.00359
395,0.00017,-0.00007,0.00647
400,0.00030,-0.00014,0.01214
405,0.00047,-0.00022,0.01969
410,0.00084,-0.00041,0.03707
415,0.00139,-0.00070,0.06637
420,0.00211,-0.00110,0.11541
425,0.00266,-0.00143,0.18575
430,0.00218,-0.00119,0.24769
435,0.00036,-0.00021,0.29012
440,-0.00261,0.00149,0.31228
445,-0.00673,0.00379,0.31860
450,-0.01213,0.00678,0.31670
455,-0.01874,0.01046,0.31166
460,-0.02608,0.01485,0.29821
465,-0.03324,0.01977,0.27295
470,-0.03933,0.02538,0.22991
475,-0.04471,0.03183,0.18592
480,-0.04939,0.03914,0.14494
485,-0.05364,0.04713,0.10968
490,-0.05814,0.05689,0.08257
495,-0.06414,0.06948,0.06246
500,-0.07137,0.08536,0.04776
505,-0.08120,0.10593,0.03688
510,-0.08901,0.12860,0.02698
515,-0.09356,0.15262,0.01842
520,-0.09264,0.17468,0.01221
525,-0.08473,0.19113,0.00830
530,-0.07101,0.20317,0.00549
535,-0.05316,0.21083,0.00320
540,-0.03152,0.21466,0.00146
545,-0.00613,0.21487,0.00023
550,0.02279,0.21178,-0.00058
555,0.05514,0.20588,-0.00105
560,0.09060,0.19702,-0.00130
565,0.12840,0.18522,-0.00138
570,0.16768,0.17087,-0.00135
575,0.20715,0.15429,-0.00123
580,0.24562,0.13610,-0.00108
585,0.27989,0.11686,-0.00093
590,0.30928,0.09754,-0.00079
595,0.33184,0.07909,-0.00063
600,0.34429,0.06246,-0.00049
605,0.34756,0.04776,-0.00038
610,0.33971,0.03557,-0.00030
615,0.32265,0.02583,-0.00022
620,0.29708,0.01828,-0.00015
625,0.26348,0.01253,-0.00011
630,0.22677,0.00833,-0.00008
635,0.19233,0.00537,-0.00005
640,0.15968,0.00334,-0.00003
645,0.12905,0.00199,-0.00002
650,0.10167,0.00116,-0.00001
655,0.07857,0.00066,-0.00001
660,0.05932,0.00037,0.00000
665,0.04366,0.00021,0.00000
670,0.03149,0.00011,0.00000
675,0.02294,0.00006,0.00000
680,0.01687,0.00003,0.00000
685,0.01187,0.00001,0.00000
690,0.00819,0.00000,0.00000
695,0.00572,0.00000,0.00000
700,0.00410,0.00000,0.00000
705,0.00291,0.00000,0.00000
710,0.00210,0.00000,0.00000
715,0.00148,0.00000,0.00000
720,0.00105,0.00000,0.00000
725,0.00074,0.00000,0.00000
730,0.00052,0.00000,0.00000
735,0.00036,0.00000,0.00000
740,0.00025,0.00000,0.00000
745,0.00017,0.00000,0.00000
750,0.00012,0.00000,0.00000
755,0.00008,0.00000,0.00000
760,0.00006,0.00000,0.00000
765,0.00004,0.00000,0.00000
770,0.00003,0.00000,0.00000
775,0.00001,0.00000,0.00000
780,0.00000,0.00000,0.00000